"reportingdistrictcode","reportingdistrictname","category","studentgroup","studentcount_current","attrate_ytd","studentcount_202021","attrate_202021","studentcount_201920","attrate_201920","reportingperiod","date_update"
"00000CT","Connecticut",,"All Students","495327","0.9194","496092","0.9294","508346","0.9479","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Homelessness","Students Experiencing Homelessness","1796","0.8379","1735","0.8155","3916","0.8884","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Students With Disabilities","Students With Disabilities","77639","0.8916","76487","0.8946","80365","0.9277","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Free/Reduced Lunch","Free Meal Eligible","166765","0.888","176225","0.8861","193706","0.9314","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Free/Reduced Lunch","Reduced Price Meal Eligible","29497","0.9211","30886","0.9299","27507","0.9518","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","196262","0.8929","207111","0.8927","221213","0.934","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","English Learners","English Learners","43157","0.9002","40619","0.8948","45413","0.9389","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","All other races","48207","0.9345","47339","0.9483","47260","0.9559","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","Black or African American","61941","0.898","62267","0.8931","64200","0.9401","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","Hispanic/Latino of any race","144096","0.8962","138260","0.8975","136953","0.9362","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","White","241083","0.9355","248226","0.9523","259933","0.9543","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","High Needs","Students Without High Needs","239859","0.942","236395","0.9616","241610","0.9606","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","High Needs","Students With High Needs","245339","0.898","251220","0.8996","266736","0.9361","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District",,"All Students","161","0.9433","144","0.968","158","0.9502","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","Students With Disabilities","Students With Disabilities","23","0.9374",,,,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","30","0.9306","31","0.9414","37","0.9401","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","Race/Ethnicity","White","134","0.941","115","0.9699","128","0.9479","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","High Needs","Students Without High Needs","113","0.9462","100","0.9752","108","0.9552","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","High Needs","Students With High Needs","48","0.9362","44","0.9513","50","0.9389","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District",,"All Students","2162","0.9028","2153","0.8923","2185","0.9413","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Students With Disabilities","Students With Disabilities","374","0.8869","394","0.8692","411","0.9337","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Free/Reduced Lunch","Free Meal Eligible","1212","0.8871","1217","0.8657","1312","0.9312","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Free/Reduced Lunch","Reduced Price Meal Eligible","225","0.929","213","0.9234","147","0.9563","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","1437","0.8935","1430","0.8743","1459","0.9338","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","English Learners","English Learners","122","0.92","119","0.8951","129","0.9506","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","All other races","153","0.9152","166","0.9105","170","0.9451","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","Black or African American","438","0.897","421","0.8693","434","0.9414","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","Hispanic/Latino of any race","993","0.8985","946","0.8798","923","0.9366","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","White","578","0.9112","620","0.9217","658","0.9468","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","High Needs","Students Without High Needs","530","0.9274","551","0.9389","587","0.9568","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","High Needs","Students With High Needs","1564","0.8951","1563","0.8764","1598","0.9355","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District",,"All Students","347","0.9319","344","0.955","348","0.9585","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Students With Disabilities","Students With Disabilities","46","0.9214","47","0.9573","56","0.9468","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Free/Reduced Lunch","Free Meal Eligible","94","0.9159","98","0.9281",,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
